date,open,close,high,low,volumeP
20150101,1015.340424989112,1006.856201171875,1015.340424989112,1005.0564939218284,366830
20150102,1009.0124606180138,1020.2654418945312,1024.8141064563138,1008.8542848250408,925740
20150105,1020.8783447818251,1004.76025390625,1028.353936033753,998.5898541101449,1754242
20150106,1000.3494717624835,967.7177734375,1000.3494717624835,965.1071989449646,2423784
20150107,976.9740300289844,956.2874755859375,980.5931462100149,952.2332311293395,2636332
20150108,966.0570315361452,966.61083984375,968.6676076107377,957.4146283790911,1565408
20150109,971.0407871438384,993.7050170898438,996.7110324625485,969.0631073329548,3197642
20150112,995.5638840889903,992.6764526367188,999.914779092955,981.027939416654,1596006
20150113,996.7505994781945,988.0092163085938,1000.8641347542451,980.9687536130142,1468432
20150114,995.16849193318,997.5219116210938,1001.4179795185361,989.0376844510797,1787096
20150115,1001.8925509901103,1004.3053588867188,1021.1749283532243,998.0360755174876,5009920
20150116,1006.1243045599173,1001.5558471679688,1006.6385203668912,982.6295187818229,5293830
20150119,1003.0791332589731,993.1907348632812,1009.0121722963881,990.0264473766599,1135074
20150120,996.7505076967105,989.0177612304688,1000.7058668542371,982.2145627928002,2058566
20150121,997.5417154816796,994.29833984375,997.5417154816796,984.1923765056658,2310480
20150122,995.3659691621613,994.1991577148438,997.2447644546389,987.0597162901543,2113214
20150123,994.3774515721794,990.263916015625,1001.5168953090387,987.2973961720326,3150380
20150127,995.7131729798712,991.6309814453125,996.7634018764105,986.6768889906583,2738736
20150128,992.0076210546574,1006.5132446289062,1008.6137027352191,991.9679496052569,3121980
20150129,1005.8786833608273,1008.5142211914062,1018.04591207005,995.9308294669356,3734392
20150130,1014.875453941334,983.704345703125,1020.5429545554473,978.9285816512446,5817402
20150202,983.6845064017729,996.4462280273438,999.3196013840774,975.7777949306828,3181802
20150203,995.4355860955086,1013.9044799804688,1016.5796896901797,993.6323739951696,2345054
20150204,1017.7685360874755,996.4857788085938,1019.23492778833,991.6506049594747,2245418
20150205,998.7454515367832,1011.58642578125,1027.162118246434,998.3491239766495,4530168
20150206,1011.8240043953369,1020.8404541015625,1028.390511559142,1010.9719390610196,2136416
20150209,1015.1928284259404,995.9312744140625,1018.2049559433958,990.8186886843065,2076432
20150210,994.7816845768806,967.4945068359375,1001.2220042479461,964.2644775201396,3799054
20150211,973.0035904049469,974.9257202148438,985.765313171476,969.9122173721559,2937522
20150212,982.812680331643,975.8174438476562,982.812680331643,969.8131225975377,3107980
20150213,978.9289366864383,1006.1764526367188,1009.7434001793009,975.0647435153076,4158326
20150216,1014.5983056557827,1024.42724609375,1028.4697668659203,1012.6166683400488,2364392
20150218,1024.5263326643976,1044.5804443359375,1047.4934899072975,1016.6790295061276,2660014
20150219,1044.7192794917235,1062.5738525390625,1065.0508993891472,1044.32295199571,2618002
20150220,1069.6086571785727,1060.39404296875,1069.6086571785727,1047.1963181033982,1801588
20150223,1058.5905875689582,1068.75634765625,1078.8032869197693,1058.5905875689582,1614892
20150224,1067.7056683590502,1071.9661865234375,1081.973450118859,1061.760759292463,2199922
20150225,1074.0471110467104,1059.06591796875,1078.8030392137068,1057.3419520639775,1767994
20150226,1061.761300550997,1052.8240966796875,1067.210803306718,1040.498370320712,1991994
20150227,1054.0127020582675,1055.162109375,1060.4728569115082,1036.9112164135215,2877376
20150302,1062.0384903073352,1057.956298828125,1073.6310664940477,1051.2782403455667,2176038
20150303,1062.9500593465757,1100.204833984375,1105.7534174410687,1060.6315054126105,3424308
20150304,1104.9605667547683,1088.3148193359375,1114.512093858461,1076.286246485395,3862994
20150305,1089.9004781406109,1068.6771240234375,1098.104436933234,1062.5737200497024,2173514
20150309,1046.3042221993262,1048.999267578125,1062.0780703556165,1034.4144014925157,2883174
20150310,1049.8317225074522,1047.37451171875,1061.4639716350844,1028.5687939460292,3037052
20150311,1047.0973998890454,1033.047607421875,1054.211460146504,1029.5797413170192,2240200
20150312,1039.923717286398,1038.0015869140625,1040.3200447973513,1026.5279248238949,1827636
20150313,1045.511759516081,1023.4561767578125,1046.2845786520465,1020.5431314457575,1586838
20150316,1024.5855632406967,1015.5097045898438,1034.4145019985838,1011.427513065282,1556296
20150317,1023.5155763436735,1023.9911499023438,1033.106680688754,1013.7064725626451,1267318
20150318,1026.8644022448705,1014.3405151367188,1030.2331849630134,1011.3085526346216,1255170
20150319,1020.93945745065,1028.965087890625,1032.7698699141674,1017.8085094643374,2448964
20150320,1028.8661830326776,1034.791259765625,1037.5853879736324,1022.069205157563,1963908
20150323,1036.7926751932816,1037.2484130859375,1042.7375873216836,1032.8294004410138,1566608
20150324,1042.3407765147144,1027.0029296875,1045.1150675548677,1023.3567379580743,2394878
20150325,1027.0429928800445,1020.0478515625,1036.0000326311317,1008.7326826575429,2224858
20150326,1011.9427172781606,996.0103759765625,1025.180013047638,991.214775981483,3091642
20150327,1003.1048731673557,996.6843872070312,1019.3146287394949,992.4437024329654,2751776
20150330,1000.7266198554703,1016.2427978515625,1018.5216802532135,998.7449829844694,1339006
20150331,1018.3433919220118,1012.2003173828125,1018.3433919220118,999.1413492465666,2427028
20150401,1013.8057115264261,1007.7220458984375,1016.0251841570015,999.6370038692447,2075758
20150406,1013.8059322634134,1009.5652465820312,1015.747898668263,990.8586044785948,1568542
20150407,1015.5691452715798,1024.50634765625,1030.0549313572897,1008.2569239603482,1886922
20150408,1028.073491007724,1046.859375,1052.8439586977713,1026.8250981400013,1652134
20150409,1053.8349087414995,1056.0345458984375,1065.1104076873112,1044.3824583890926,2544450
20150410,1049.6731872644843,1051.75390625,1058.5113082120288,1041.5484750353273,1815544
20150413,1055.8161705216767,1052.4473876953125,1056.2124979130135,1041.5483844335458,1308642
20150415,1052.1303450570508,1041.4493408203125,1075.592908133654,1034.1766942184327,2913934
20150416,1041.1322149303428,1023.6343994140625,1041.1520506517113,1019.0964701630311,3217570
20150417,1013.4488823788827,980.8509521484375,1014.598193190757,978.9287254613945,9668742
20150420,982.9119411111808,962.6001586914062,984.4377437835199,961.0346845690285,2890722
20150421,962.5999449745614,961.9063720703125,971.7947206961094,951.5820246294285,2546032
20150422,963.66996783866,969.06005859375,980.117553142096,954.1779469973941,4186812
20150423,979.7213787405256,973.8755493164062,982.8127519574083,963.7493644196513,4342990
20150424,973.1028471349837,988.064208984375,996.3672500495273,970.0313092718636,3625158
20150427,990.6203562796102,990.8977661132812,998.7450681434757,985.2699362716986,2733052
20150428,994.7818253694891,988.8369140625,994.7818253694891,973.023488689759,3088298
20150429,984.4775612557581,985.7854614257812,988.8371639827361,971.4185888027855,2019620
20150430,982.8924099584643,976.4322509765625,986.855685805071,961.9267194337805,3738054
20150504,987.251622496453,983.50634765625,992.7209603511687,973.8557360869686,1890630
20150505,991.2149104528468,997.89306640625,1005.2646986081398,990.8185830196389,3255070
20150506,996.7635697996552,976.1743774414062,996.7635697996552,973.301003333634,3394406
20150507,976.907196575398,1008.7521362304688,1012.1209185339592,972.4683498333075,3205028
20150508,1014.5979449005836,1001.6182250976562,1025.6951099229336,997.2784602711929,3003664
20150511,1004.6898210552376,1013.0126953125,1015.8068224507878,1000.7265475993985,2573082
20150512,1014.5982570977293,999.8944702148438,1016.5798943186232,995.9708672213256,2467386
20150513,1009.4458591888754,996.921875,1009.4458591888754,983.0702521145258,1863774
20150514,998.7447259568496,990.5209350585938,998.7447259568496,984.8732714296711,1309050
20150515,996.7633869499994,995.2374877929688,1003.659444839763,991.214803483876,1461454
20150518,996.406718297742,998.9035034179688,1000.8257299409273,989.6691527462141,4507752
20150519,998.5073031792137,995.8519287109375,1002.7084127030857,989.5305254610392,1957722
20150520,998.7450663219803,1013.4290161132812,1018.5217652409362,997.516412655593,1897814
20150521,1013.4090662392542,1012.8145751953125,1022.5245955796934,1009.9015303761543,1579578
20150522,1010.6348197384332,1037.54541015625,1041.8456009362378,1006.3743004003202,2691632
20150525,1038.3781234230826,1030.847900390625,1045.0760199428291,1024.7840698599266,982978
20150526,1032.432962983759,1033.9588623046875,1039.6659386361405,1026.0520526084922,1961740
20150527,1033.6217438581398,1036.4951171875,1043.5893381520082,1027.2805061657587,1620690
20150528,1031.99695834775,1034.2164306640625,1039.5668509798184,1023.4165081748516,2763608
20150529,1037.1884543830786,1034.5330810546875,1049.7124346835906,1029.360990885155,4423532
20150601,1034.1963037424448,1037.48583984375,1049.1180853661988,1033.7604017470812,882264
20150602,1036.7926540891842,1030.4117431640625,1042.341238629417,1026.6863036766176,3935820
20150603,1032.0363761970689,1034.77099609375,1040.5970853025449,1026.6859571960474,1804684
20150604,1037.228210517604,1032.690185546875,1039.4872567647599,1025.8932110885844,4131468
20150605,1036.8306352139132,1030.3704833984375,1043.630836139313,1028.0303751928075,2308534
20150608,1036.030666173482,1031.010498046875,1036.030666173482,1024.6902914395484,1570320
20150609,1034.0302537484329,1024.68994140625,1036.0303122663217,1020.4298558267901,2578914
20150610,1026.4307601886173,1040.3311767578125,1044.0312876431378,1025.5507533477266,2763350
20150611,1042.2307997876956,1028.5504150390625,1045.230888445691,1022.7302235107237,1847336
20150612,1028.7905819048578,1002.349853515625,1035.610804433506,990.7495082424467,2571456
20150615,1002.1492245786526,1001.94921875,1008.2093621231887,992.4289217743159,2525176
20150616,1000.0298736961024,1004.8300170898438,1007.7501238528698,997.8097878446637,1267396
20150617,1008.4299928859494,1005.5499267578125,1011.6900507846123,1000.7497839911995,1975720
20150618,1006.0299720112303,1012.0501708984375,1018.5503645545737,1003.2298885901255,2165046
20150619,1014.0299671587271,1019.8501586914062,1022.0302035860149,1010.8699128336028,1999610
20150622,1018.8303294725545,1036.630859375,1040.030960592321,1018.8303294725545,1102002
20150623,1040.0307446867223,1029.8704833984375,1043.2308392857583,1026.910337298847,898318
20150624,1032.0304857099895,1028.150390625,1035.1905399940524,1023.5702748617186,1170246
20150625,1024.8300479664522,1020.0299072265625,1029.2301769780179,1017.689799552221,1930992
20150626,1020.1099726255067,1037.1505126953125,1038.5705739776497,1020.1099726255067,1290102
20150629,1028.8304653313521,1037.190673828125,1041.6308443712444,1017.3900875007915,1372756
20150630,1034.0306404170628,1020.4102172851562,1035.5306848664106,1016.0301070248896,1549952
20150701,1025.5902072829006,1037.2706298828125,1043.2307665945666,1022.7301619979518,1279708
20150702,1040.0305101196536,1031.1302490234375,1041.210525205082,1028.450189933029,1445880
20150703,1029.2507545461888,1041.591064453125,1044.0311763811305,1028.030698582186,963470
20150706,1032.1504491861267,1053.35107421875,1058.0311926658242,1032.1504491861267,1182338
20150707,1053.1313242453455,1046.5311279296875,1058.7914535372324,1041.2309702822654,1642836
20150708,1039.210531560275,1038.070556640625,1048.7108108529624,1032.230345885472,2667850
20150709,1038.0310807469107,1009.0302124023438,1039.3311196727016,1002.6899835005861,3934122
