date,open,close,high,low,volumeP
20200101,1900.3880150791408,1900.0374755859375,1914.3252770048746,1888.116136752984,1354908
20200102,1910.8633140844495,1891.31591796875,1910.8633140844495,1883.9090040203537,2380752
20200103,1896.882112018134,1929.008056640625,1948.5993230204767,1896.882112018134,4655761
20200106,1932.8205559986789,1928.8321533203125,1951.1844998862837,1917.8312497585043,3023209
20200107,1928.876709017503,1933.56640625,1941.279988756531,1914.2381510274283,2429317
20200108,1932.8211240828691,1976.868408203125,1981.0320818264327,1930.2353064229992,5197454
20200109,1971.171139072774,1941.0174560546875,1973.9760980039323,1937.2043212232709,3734173
20200110,1952.9824552502614,1940.316162109375,1958.2418334959982,1935.4511944311387,1915807
20200113,1944.0850937647585,1919.9796142578125,1945.0491845422691,1915.026905519982,2843893
20200114,1924.0550737422204,1934.486083984375,1954.5594976666994,1924.0550737422204,2948452
20200115,1939.833441029002,1952.017578125,1955.6115711413029,1923.3540178885705,2620681
20200116,1952.0616191120848,1962.448974609375,1971.3898729842833,1941.5867357315196,3117214
20200117,1964.158656798652,1945.18115234375,1975.3787066539269,1939.8340321300534,3281059
20200120,1923.9676886695293,1902.4482421875,1965.4291537325275,1890.0447496196578,5817599
20200121,1902.0978288923563,1903.0621337890625,1916.648860216513,1891.6668148499107,1902980
20200122,1911.7831962787166,1934.486083984375,1937.203513881689,1905.3842459432633,1773686
20200123,1941.4272718298064,1924.866455078125,1948.4117281940726,1918.496943172181,2069866
20200124,1924.8665194733655,1918.2333984375,1924.8665194733655,1906.4608687309674,1319430
20200127,1923.7682532316064,1905.8018798828125,1927.0628283380074,1902.068028095558,1549101
20200128,1909.9753628988983,1918.541259765625,1922.099444439156,1890.647185353463,1743024
20200129,1919.639212443126,1892.9312744140625,1921.3523487048565,1888.8898429074238,2306761
20200130,1897.675325930032,1878.2154541015625,1902.0680928882032,1866.9259572228323,2098567
20200131,1879.5770884033636,1826.5565185546875,1883.9260993957937,1820.0113385175005,3287223
20200203,1890.6469637150715,1847.1585693359375,1928.1611519278442,1838.987979615075,4728073
20200204,1870.439886618673,1851.7706298828125,1877.2047038083824,1833.1893142689846,3509339
20200205,1858.1407239701152,1885.859130859375,1894.7763634311204,1848.7402440566623,2439322
20200206,1884.497091384653,1869.8692626953125,1910.1508084251996,1858.5797654192231,2640065
20200207,1879.2257772522946,1877.0733642578125,1889.7684183588992,1861.6547087412866,2083442
20200210,1880.8950780409316,1899.388671875,1903.8254098907698,1861.654842435875,2383032
20200211,1900.3112748326987,1891.8770751953125,1910.678249327226,1886.7816363421068,1335820
20200212,1889.856262843647,1907.1197509765625,1919.6391366503694,1888.8897683287387,1620407
20200213,1909.052723296699,1925.7452392578125,1930.1819771877008,1907.3395869251244,1645948
20200214,1922.274702807796,1918.9361572265625,1943.3599829117206,1907.339296067516,1500115
20200217,1930.1379220356102,1935.6728515625,1947.7529612681549,1924.207686361925,1774724
20200218,1932.7733555030272,1946.654541015625,1951.2669459982862,1920.5615500118236,2486223
20200219,1946.6545668056135,1929.6107177734375,1959.173951924413,1924.4710949284424,1760463
20200220,1936.7712174419275,1894.8642578125,1945.4688114155545,1889.9882429221802,2317278
20200224,1894.1608586972504,1858.44775390625,1914.3236134369436,1850.8481393920104,3092877
20200225,1858.5798561753884,1894.29296875,1912.303314791879,1854.6263655808295,2674567
20200226,1892.4039818970816,1865.696044921875,1901.1015745691823,1856.3393227237234,2686842
20200227,1862.4891203164177,1849.7940673828125,1862.4891203164177,1832.8379449309177,2349001
20200228,1816.8482232381373,1757.2384033203125,1818.1660531872947,1748.32106588196,4298076
20200302,1787.8558587710015,1758.2486572265625,1804.504399914029,1744.543140768515,2667076
20200303,1774.677635929271,1788.91015625,1809.8197673338111,1767.649209648363,2757585
20200304,1806.305542139983,1830.2021484375,1840.0858728290732,1779.070390483203,3237002
20200305,1832.3986883415578,1866.9698486328125,1886.9129668792266,1830.9491611030494,3937056
20200306,1843.2047972431355,1859.4140625,1865.739603272124,1820.0110762484976,2595027
20200309,1822.9983494962182,1732.8148193359375,1827.303175465061,1700.0008704940637,4940975
20200311,1698.2436755180195,1716.4296875,1745.9491667247876,1686.8224816319696,6796449
20200312,1672.7659376474064,1554.907958984375,1676.631594666661,1544.804593289551,8728786
20200313,1482.9100593751225,1586.9307861328125,1598.9669228185583,1323.1451715304652,8029720
20200316,1541.8612610185473,1490.3780517578125,1618.5150473569338,1472.3237359742652,7844271
20200317,1519.8977039001245,1456.641845703125,1520.776257486194,1426.0242746776673,5713248
20200318,1473.1583772847328,1453.478759765625,1505.445214587159,1430.0652903135835,7258778
20200319,1380.2914745073563,1448.1246337890625,1491.5767590833336,1368.8311245955701,5135111
20200320,1442.5051284541428,1590.6937255859375,1654.0135491293208,1439.8502110398101,8547498
20200323,1433.6553410387432,1477.638427734375,1548.7017572949387,1431.6641530650784,7003490
20200324,1462.9035097782923,1507.2406005859375,1566.4009774799038,1445.0270044270337,6350865
20200325,1504.4531287813516,1548.96728515625,1601.8000959377919,1486.7536802074533,2765520
20200326,1620.915683700213,1584.9415283203125,1621.3139861607938,1524.4094929684998,4556067
20200327,1610.64994797376,1614.63232421875,1637.1991229403604,1549.0558836570208,4331250
20200330,1562.861548997795,1573.9237060546875,1685.8727354704413,1560.6934094261949,8513547
