date,open,close,high,low,volumeP
20200101,679.0819971118469,675.32421875,683.1529137163456,673.490123328754,14004468
20200102,676.397899264457,686.8212280273438,689.3487905881979,676.397899264457,17710316
20200103,685.7922517653002,687.6488037109375,689.6618949086101,681.3187290426969,20984698
20200106,679.9767186772816,671.70068359375,683.5107670428088,670.13493269889,24519177
20200107,679.5293205694625,682.0345458984375,686.4633346701793,677.0688889990518,16683622
20200108,677.7399630034671,676.912353515625,686.440941615489,675.5032015883575,16047902
20200109,688.2974451452224,692.5025634765625,693.3972440896104,685.0094043047601,14982742
20200110,694.247234586273,692.3460083007812,696.9537331994524,688.7671661721967,12478359
20200113,691.182918802657,690.5789794921875,697.2892636445985,688.2080160085029,18282382
20200114,688.9238735459851,684.1819458007812,693.3973970480666,680.80443615396,15816535
20200115,687.0672990416617,681.6990356445312,688.8790573291237,679.1938699492092,15817859
20200116,684.0029251254354,687.9843139648438,690.4224084594933,683.55552505049,12847975
20200117,694.9629812164561,707.2651977539062,709.0322217924195,694.8287791271389,29463471
20200120,719.7910841112327,685.50146484375,719.7910841112327,682.8397004859988,32545850
20200121,683.8240435553602,686.1950073242188,691.5408742450458,680.8714775601642,18922720
20200122,690.7131763493682,685.9488525390625,691.9433921150559,684.9423069375898,10322817
20200123,687.3580003916201,683.0410766601562,689.7960947547332,680.2898440689846,11247739
20200124,683.1082008428737,680.670166015625,687.2909825261135,679.3280852091012,14628445
20200127,677.6952802850295,673.9598388671875,681.9674704241261,673.2664314282462,13387750
20200128,674.8768456496997,658.3919067382812,675.5031818296184,654.7459935025485,24532236
20200129,659.4208095162297,662.0155029296875,668.5244541677285,654.9472866809749,24746565
20200130,661.6352849574768,645.8660888671875,661.9484232186644,644.1885326054595,22402689
20200131,650.0040116804691,631.5059814453125,650.1158766250334,629.5152871221561,34750310
20200203,612.8289902103342,619.8076782226562,626.2719547408867,609.7646194987522,30712290
20200204,626.2942886767648,638.1044311523438,640.8332667548419,625.310139999637,25383901
20200205,641.9069587229454,647.990966796875,649.9145900708021,639.8491930659694,18472100
20200206,650.496207815146,652.1513671875,656.267018049872,644.2332634474068,15538577
20200207,649.1094039600182,641.3478393554688,649.7133433335028,638.9544787429636,12209212
20200210,638.8203083482963,642.22021484375,646.6490042608419,630.969275278225,15142476
20200211,647.4989123607826,649.8922729492188,655.9091502920886,646.4476326193693,13999816
20200212,651.4132707150139,657.7432861328125,659.7787743619559,650.8987994375913,13533565
20200213,661.0760000110254,659.4655151367188,661.0760000110254,654.2985851368666,13565659
20200214,660.8523610746443,665.4824829101562,671.6782959370149,650.0487633667867,21227841
20200217,666.108801931165,661.2997436523438,673.7808982963232,659.5327193324579,13149130
20200218,660.248373884015,656.4458618164062,660.248373884015,651.9723392868693,11127161
20200219,661.7916937337079,672.7294921875,673.9149738050373,659.8904676603004,14084409
20200220,669.687583672214,664.7443237304688,674.6084467350322,663.7825121618259,16892268
20200224,657.4972328720769,646.4028930664062,660.7405401434429,643.9871953423907,21370214
20200225,649.2883120922913,633.6309814453125,649.2883120922913,630.7678836964259,27745062
20200226,630.7678804610105,622.7155151367188,631.8191601622372,620.6353526146177,29362748
20200227,620.9260652375485,620.1432495117188,623.5207586374837,612.4263599498594,25054993
20200228,606.1186837322065,594.3756713867188,607.0581581658521,592.7428492925397,39315769
20200302,606.2080423411206,588.78369140625,612.4262510838603,582.0510115058373,29500495
20200303,594.8454740172322,600.7281494140625,605.6714099989539,591.4008335900859,27398798
20200304,604.8213738082619,599.3189086914062,605.6265863851147,585.0930684252744,22105261
20200305,604.9108873026663,586.5470581054688,607.4831839260905,584.2431656944867,30510390
20200306,568.1384750442038,568.5858154296875,576.2579718033144,555.2099795536162,33734039
20200309,554.7401888514859,498.41845703125,555.1651920392663,489.85165057435484,88187018
20200311,495.6672390040311,516.044189453125,527.183262933386,495.6672390040311,59578576
20200312,485.37810154536595,475.53631591796875,492.5357258130127,469.1391701914128,55970485
20200313,446.45836059532905,494.4593505859375,509.982477758339,421.5855519763993,73297403
20200316,474.4403385952524,454.3765563964844,483.00714524632815,449.58986531183916,38482258
20200317,468.4905324264047,450.93194580078125,474.19430109253625,448.7846523850041,45445979
20200318,458.6711221665263,433.261474609375,463.4130789981454,429.90633253193516,44730415
20200319,411.6095658236809,410.5359191894531,432.59042415452996,399.12841250234374,61404010
20200320,420.28825049021884,455.38311767578125,462.9657459489258,416.0383975453142,63360475
20200323,409.86489349215907,395.4825134277344,424.98544483853334,391.72473514239124,40670949
20200324,416.03841857668414,422.032958984375,433.93254185914833,400.7389591466198,45734887
20200325,431.1589580061235,484.1479187011719,515.1494727896879,430.9129207991729,73130298
20200326,490.2094960975014,476.96783447265625,499.648645569476,466.2984692637249,45744488
20200327,489.8516573515531,476.699462890625,495.3540929516579,468.0208212280606,41657940
20200330,465.51565999753865,460.9750061035156,480.815118140311,456.30017996614265,30229866
